Drift_ID,Date,Start_Time,End_Time,Duration_Minutes,Activity_Before_Drift,Activity_Type,Task_Difficulty,Task_Importance,Trigger_Type,Specific_Trigger,Distraction_Source,Energy_Level,Mood_Before,Stress_Level,Sleep_Hours_Last_Night,Caffeine/Meal_Status,Location,Noise_Level,Lighting,Temperature_Comfort,Recovery_Time_Minutes,Recovery_Method,Task_Resumed,Productivity_Impact,Cumulative_Drift_Today_Minutes,Focus_Session_Length_Before_Drift,Drift_Category
1,01-10-2025,21:23,21:38,15,Coding,Creative,Hard,Low,Internal,Hunger,Physical,High,Happy,Low,8.0,Just Ate,Office,Moderate,Normal,Cold,3,Music,No,Major,9,23,Medium
2,01-10-2025,08:52,09:01,9,Reading,High-Focus,Medium,Low,External,Person Talking,Physical,High,Neutral,Low,5.0,Caffeinated,Home,Quiet,Dim,Hot,7,Continued Task,Yes,Minor,49,43,Micro
3,01-10-2025,15:01,15:16,15,Studying,Repetitive,Hard,Low,External,Noise,Physical,Medium,Happy,Medium,8.0,Hungry,Office,Moderate,Dim,Cold,10,Continued Task,Yes,Minor,29,7,Major
4,01-10-2025,20:25,20:27,2,Meeting,High-Focus,Medium,Low,Internal,Hunger,Physical,Low,Neutral,Medium,8.0,Caffeinated,Home,Moderate,Dim,Cold,2,Music,No,Minor,53,23,Medium
5,01-10-2025,13:34,13:36,2,Studying,High-Focus,Hard,High,External,Noise,Physical,Medium,Stressed,High,7.0,Hungry,Home,Loud,Dim,Comfortable,10,Ignored Phone,No,Minor,37,31,Medium
6,01-10-2025,12:36,12:46,10,Reading,High-Focus,Hard,Medium,Internal,Daydreaming,Mental,Low,Neutral,High,4.0,Normal,Home,Moderate,Normal,Cold,5,Continued Task,No,Major,33,36,Major
7,01-10-2025,10:22,10:33,11,Coding,Creative,Medium,Low,Internal,Daydreaming,Mental,Medium,Happy,Medium,4.0,Caffeinated,Office,Quiet,Bright,Comfortable,7,Ignored Phone,No,Minor,60,12,Major
8,01-10-2025,19:59,20:03,4,Studying,Passive,Medium,Medium,Internal,Hunger,Physical,Low,Anxious,Low,6.0,Normal,Home,Quiet,Bright,Cold,2,Break,No,Minor,18,43,Micro
9,01-10-2025,09:57,10:08,11,Reading,High-Focus,Easy,Low,Internal,Hunger,Physical,Medium,Neutral,Medium,7.0,Caffeinated,Office,Loud,Bright,Comfortable,9,Coffee,No,Minor,26,48,Major
10,01-10-2025,14:30,14:42,12,Studying,High-Focus,Hard,Low,External,Phone Ping,Digital,Medium,Stressed,High,6.0,Normal,Outdoors,Quiet,Bright,Comfortable,7,Coffee,No,Major,26,39,Medium
11,01-10-2025,09:03,09:12,9,Writing,Creative,Medium,High,External,Noise,Physical,High,Neutral,Low,4.0,Hungry,cafe,Loud,Dim,Hot,5,Continued Task,Yes,None,27,7,Major
12,01-10-2025,16:21,16:32,11,Writing,Repetitive,Easy,Low,External,Noise,Physical,Medium,Happy,Low,4.0,Just Ate,Outdoors,Moderate,Bright,Cold,4,Ignored Phone,No,Minor,15,50,Medium
13,01-10-2025,13:45,13:46,1,Writing,Passive,Easy,Low,External,Phone Ping,Digital,Low,Bored,Low,6.0,Caffeinated,Office,Loud,Dim,Cold,9,Break,Yes,Major,40,42,Micro
14,01-10-2025,08:48,08:56,8,Reading,High-Focus,Easy,Low,External,Noise,Physical,Medium,Bored,Medium,6.0,Hungry,Outdoors,Quiet,Bright,Cold,4,Ignored Phone,No,None,32,40,Micro
15,01-10-2025,11:12,11:17,5,Meeting,Passive,Easy,Low,Internal,Hunger,Physical,Medium,Happy,Medium,8.0,Caffeinated,Outdoors,Moderate,Bright,Comfortable,2,Ignored Phone,Yes,None,37,32,Major
16,01-10-2025,19:46,19:55,9,Coding,Creative,Hard,Medium,External,Phone Ping,Digital,Medium,Happy,High,8.0,Normal,Outdoors,Loud,Normal,Comfortable,9,Ignored Phone,Yes,None,21,29,Major
17,01-10-2025,15:38,15:40,2,Coding,Passive,Hard,High,Internal,Hunger,Physical,Low,Happy,Low,4.0,Hungry,Outdoors,Moderate,Bright,Comfortable,4,Continued Task,No,None,16,29,Medium
18,01-10-2025,20:05,20:19,14,Writing,Passive,Easy,High,Internal,Hunger,Physical,High,Anxious,Low,6.0,Just Ate,Home,Moderate,Normal,Hot,8,Continued Task,No,Major,33,19,Micro
19,01-10-2025,11:09,11:23,14,Writing,Repetitive,Medium,Medium,External,Person Talking,Physical,High,Happy,High,6.0,Just Ate,Home,Quiet,Dim,Comfortable,7,Coffee,Yes,Major,27,21,Major
20,01-10-2025,08:38,08:47,9,Studying,Creative,Hard,Low,External,Noise,Physical,Low,Happy,Medium,7.0,Just Ate,cafe,Loud,Dim,Cold,1,Continued Task,No,Major,56,33,Major
21,01-10-2025,17:23,17:33,10,Studying,High-Focus,Medium,High,External,Noise,Physical,Low,Happy,Medium,6.0,Caffeinated,Office,Loud,Normal,Hot,4,Music,No,Major,19,24,Medium
22,01-10-2025,17:05,17:19,14,Meeting,Repetitive,Easy,Low,Internal,Daydreaming,Mental,Low,Anxious,High,5.0,Caffeinated,Outdoors,Moderate,Normal,Hot,2,Music,Yes,None,23,10,Medium
23,01-10-2025,20:16,20:29,13,Writing,Creative,Easy,High,External,Social Media,Digital,Medium,Neutral,Low,5.0,Normal,Office,Moderate,Normal,Cold,8,Coffee,No,Minor,13,48,Micro
24,01-10-2025,17:55,17:59,4,Meeting,Repetitive,Medium,High,External,Noise,Physical,Medium,Neutral,Low,4.0,Normal,Home,Quiet,Dim,Comfortable,7,Music,Yes,Minor,56,21,Medium
25,01-10-2025,12:39,12:41,2,Coding,Repetitive,Medium,Low,External,Noise,Physical,Medium,Bored,High,7.0,Just Ate,Home,Moderate,Dim,Cold,2,Ignored Phone,Yes,Major,53,7,Major
26,01-10-2025,16:13,16:23,10,Meeting,High-Focus,Easy,Medium,Internal,Daydreaming,Mental,Low,Bored,High,8.0,Normal,Office,Moderate,Dim,Comfortable,10,Music,No,Minor,46,40,Medium
27,01-10-2025,14:39,14:41,2,Coding,Creative,Medium,High,External,Social Media,Digital,Medium,Stressed,High,6.0,Just Ate,Outdoors,Moderate,Normal,Cold,8,Coffee,No,Minor,27,44,Micro
28,01-10-2025,10:09,10:22,13,Meeting,Repetitive,Easy,Low,External,Noise,Physical,Medium,Neutral,Medium,8.0,Normal,Home,Moderate,Dim,Hot,3,Music,Yes,Major,23,20,Major
29,01-10-2025,09:38,09:45,7,Meeting,High-Focus,Medium,Low,Internal,Daydreaming,Mental,Medium,Anxious,High,4.0,Caffeinated,Office,Moderate,Normal,Cold,10,Coffee,No,Minor,10,35,Micro
30,01-10-2025,15:00,15:13,13,Reading,Repetitive,Easy,Medium,External,Person Talking,Physical,Medium,Neutral,Low,7.0,Normal,Home,Loud,Bright,Cold,1,Coffee,Yes,Minor,46,29,Major
31,01-10-2025,14:15,14:16,1,Reading,Passive,Easy,Medium,External,Social Media,Digital,Low,Neutral,Low,8.0,Caffeinated,Office,Loud,Bright,Comfortable,9,Music,Yes,Major,41,5,Medium
